TIPO_CONST;COLAP_TOTA;COLAP_PAR;CIMEN_AFEC;FUERA_PLOM;AGR_MUROS;AGR_MAMP;DASOBCH;OTROS;PANCARTA
tipconst_hormigo;no;no;no;poca;poca;mode;poca;sev;USO RESTRINGIDO
tipconst_estmad;si;no;si;sev;sev;sev;sev;sev;INSEGURO
tipconst_estmuro;no;si;no;poca;mode;sev;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_manrest;si;no;si;sev;sev;mode;mode;poca;INSEGURO
tipconst_manrest;si;no;si;sev;sev;mode;poca;poca;INSEGURO
tipconst_hormigo;no;no;no;mode;poca;mode;poca;mode;USO RESTRINGIDO
tipconst_estmuro;no;si;si;sev;sev;mode;mode;mode;INSEGURO
tipconst_hormigo;no;si;si;poca;mode;sev;poca;poca;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;si;no;si;sev;sev;mode;mode;poca;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_manrest;no;si;no;mode;mode;sev;sev;sev;INSEGURO
tipconst_estmad;no;si;si;sev;sev;mode;mode;poca;INSEGURO
tipconst_manrest;no;si;si;mode;sev;mode;poca;poca;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;si;mode;mode;mode;mode;mode;USO RESTRINGIDO
tipconst_manrest;no;si;no;mode;mode;mode;sev;sev;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;poca;mode;poca;USO RESTRINGIDO
tipconst_manrest;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_manrest;si;no;no;sev;sev;sev;sev;sev;INSEGURO
tipconst_hormigo;no;no;si;mode;mode;mode;mode;mode;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;mode;poca;USO RESTRINGIDO
tipconst_mixta;no;si;si;mode;sev;sev;mode;poca;INSEGURO
tipconst_mixta;no;si;no;poca;poca;poca;mode;mode;USO RESTRINGIDO
tipconst_mixta;no;no;no;poca;sev;sev;mode;poca;INSEGURO
tipconst_estmuro;no;si;no;poca;poca;sev;sev;poca;USO RESTRINGIDO
tipconst_estmuro;no;no;no;poca;mode;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;mode;mode;poca;mode;USO RESTRINGIDO
tipconst_hormigo;no;no;si;sev;sev;mode;mode;sev;INSEGURO
tipconst_estmuro;no;no;no;poca;poca;sev;mode;mode;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_estmuro;no;no;no;poca;poca;mode;mode;mode;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_estmuro;no;no;no;poca;poca;mode;mode;poca;USO RESTRINGIDO
tipconst_estmuro;no;no;no;poca;mode;mode;poca;poca;USO RESTRINGIDO
tipconst_estmuro;no;no;si;poca;mode;mode;poca;poca;USO RESTRINGIDO
tipconst_estmuro;no;no;no;poca;poca;sev;mode;poca;USO RESTRINGIDO
tipconst_estmuro;no;no;no;poca;poca;sev;poca;poca;USO RESTRINGIDO
tipconst_estmuro;no;no;no;poca;poca;sev;mode;poca;USO RESTRINGIDO
tipconst_mixta;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;mode;mode;sev;mode;mode;INSEGURO
tipconst_hormigo;no;no;no;mode;mode;mode;mode;mode;USO RESTRINGIDO
tipconst_mixta;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;USO RESTRINGIDO
tipconst_metalic;no;no;no;poca;mode;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;si;mode;sev;mode;mode;poca;INSEGURO
tipconst_mixta;si;no;si;sev;sev;sev;sev;sev;INSEGURO
tipconst_hormigo;no;no;no;mode;sev;sev;sev;mode;USO RESTRINGIDO
tipconst_hormigo;no;no;no;mode;mode;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;mode;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;USO RESTRINGIDO
tipconst_manrest;no;si;no;sev;sev;sev;sev;sev;INSEGURO
tipconst_hormigo;no;si;no;poca;poca;sev;sev;sev;INSEGURO
tipconst_hormigo;no;si;no;poca;mode;sev;sev;sev;INSEGURO
tipconst_hormigo;no;no;si;poca;sev;poca;poca;poca;INSEGURO
tipconst_hormigo;no;si;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;no;poca;poca;mode;mode;poca;INSPECCIONADO
tipconst_hormigo;no;si;si;mode;mode;sev;sev;sev;INSEGURO
tipconst_hormigo;no;si;no;poca;sev;sev;poca;sev;USO RESTRINGIDO
tipconst_hormigo;no;no;si;mode;mode;mode;mode;mode;USO RESTRINGIDO
tipconst_estmad;no;no;si;sev;sev;mode;poca;poca;INSEGURO
tipconst_hormigo;no;no;si;mode;sev;sev;sev;sev;INSEGURO
tipconst_manrest;si;no;si;sev;sev;sev;sev;sev;INSEGURO
tipconst_hormigo;si;no;si;sev;sev;sev;sev;sev;INSEGURO
tipconst_estmad;no;si;si;sev;sev;poca;sev;sev;INSEGURO
tipconst_hormigo;no;si;si;poca;sev;sev;sev;sev;INSEGURO
